Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
HRG4	mutation identified in 1 IMD13 family and CORD family	unc-119 lipid binding chaperone	?Cone-rod dystrophy (3); ?Immunodeficiency 13, 615518 (3), Autosomal dominant
IMD13	mutation identified in 1 IMD13 family and CORD family	unc-119 lipid binding chaperone	?Cone-rod dystrophy (3); ?Immunodeficiency 13, 615518 (3), Autosomal dominant
PIGS		Phosphatidylinositol glycan, class S	Glycosylphosphatidylinositol biosynthesis defect 18, 618143 (3), Autosomal recessive
GPIBD18		Phosphatidylinositol glycan, class S	Glycosylphosphatidylinositol biosynthesis defect 18, 618143 (3), Autosomal recessive
ALDOC		Aldolase C, fructose-bisphosphatase	
SPAG5		Sperm-associated antigen 5	
MAP126		Sperm-associated antigen 5	
ASTRIN		Sperm-associated antigen 5	
SDF2		Stromal cell-derived factor-2	
SUPT6H		Suppressor of Ty, S.cerevisiae, 6 homolog of	
PROCA1		Proline-rich cyclin A1-interacting protein	
RAB34		Ras-associated protein 34	
RAH		Ras-associated protein 34	
RPL23A		Ribosomal protein L23a	
NEK8	mutations identified in 1 family with NPHP9	Never in mitosis gene A-related kinase 8	?Nephronophthisis 9, 613824 (3); Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive
JCK	mutations identified in 1 family with NPHP9	Never in mitosis gene A-related kinase 8	?Nephronophthisis 9, 613824 (3); Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive
NPHP9	mutations identified in 1 family with NPHP9	Never in mitosis gene A-related kinase 8	?Nephronophthisis 9, 613824 (3); Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive
RHPD2	mutations identified in 1 family with NPHP9	Never in mitosis gene A-related kinase 8	?Nephronophthisis 9, 613824 (3); Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive
TRAF4		TNF receptor-associated factor 4	
MLN62		TNF receptor-associated factor 4	
CART1		TNF receptor-associated factor 4	
ERAL1		ERA G-protein-like 1	Perrault syndrome 6, 617565 (3), Autosomal recessive
ERAL1A		ERA G-protein-like 1	Perrault syndrome 6, 617565 (3), Autosomal recessive
ERAL1B		ERA G-protein-like 1	Perrault syndrome 6, 617565 (3), Autosomal recessive
PRLTS6		ERA G-protein-like 1	Perrault syndrome 6, 617565 (3), Autosomal recessive
MIR451		Micro RNA 451	
MIRN451		Micro RNA 451	
MIR144		Micro RNA 144	
MIRN144		Micro RNA 144	
FLOT2	~180kb centromeric to NF1	Flotillin 2 (epidermal surface antigen 1)	
M17S1	~180kb centromeric to NF1	Flotillin 2 (epidermal surface antigen 1)	
ECS1	~180kb centromeric to NF1	Flotillin 2 (epidermal surface antigen 1)	
ESA1	~180kb centromeric to NF1	Flotillin 2 (epidermal surface antigen 1)	
DHRS13		Short-chain dehydrogenase reductase family, member 13	
SDR7C5		Short-chain dehydrogenase reductase family, member 13	
SEZ6		Seizure-related 6, mouse, homolog of	
BSRPC		Seizure-related 6, mouse, homolog of	
PIPOX		Pipecolic acid oxidase	
MYO18A		Myosin XVIIIA	
SPR210		Myosin XVIIIA	
TIAF1		TGFB1-induced antiapoptotic factor 1	
MYO18A		TGFB1-induced antiapoptotic factor 1	
MYSPDZ		TGFB1-induced antiapoptotic factor 1	
MAJN		TGFB1-induced antiapoptotic factor 1	
SPR210		TGFB1-induced antiapoptotic factor 1	
KIAA0216		TGFB1-induced antiapoptotic factor 1	
CRYBA1	centromeric to NF1	Crystallin, beta A1	Cataract 10, multiple types, 600881 (3), Autosomal dominant
CRYB1	centromeric to NF1	Crystallin, beta A1	Cataract 10, multiple types, 600881 (3), Autosomal dominant
CTRCT10	centromeric to NF1	Crystallin, beta A1	Cataract 10, multiple types, 600881 (3), Autosomal dominant
NUFIP2		Nuclear fragile X mental retardation protein-interacting protein 2	
KIAA1321		Nuclear fragile X mental retardation protein-interacting protein 2	
PIG1		Nuclear fragile X mental retardation protein-interacting protein 2	
TAOK1		TAO kinase 1	
PSK2		TAO kinase 1	
TAO1		TAO kinase 1	
MARKK		TAO kinase 1	
GIT1		G protein-coupled receptor kinase-interacting protein 1	
ANKRD13B		Ankyrin repeat domain-containing protein 13B	
SSH2		Slingshot, Drosophila, homolog of, 2	
KIAA1725		Slingshot, Drosophila, homolog of, 2	
NSRP1		Nuclear speckle splicing regulatory protein 1	
NSRP70		Nuclear speckle splicing regulatory protein 1	
CCDC55		Nuclear speckle splicing regulatory protein 1	
SLC6A4		Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	{Anxiety-related personality traits}, 607834 (3); {Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant
HTT		Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	{Anxiety-related personality traits}, 607834 (3); {Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant
OCD1		Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	{Anxiety-related personality traits}, 607834 (3); {Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant
BLMH		Bleomycin hydrolase	
BMH		Bleomycin hydrolase	
CPD		Carboxypeptidase D	
GOSR1		Golgi snap receptor complex member 1	
GOS28		Golgi snap receptor complex member 1	
GS28		Golgi snap receptor complex member 1	
CRLF3		Cytokine receptor-like factor 3	
CYTOR4		Cytokine receptor-like factor 3	
CRLM9		Cytokine receptor-like factor 3	
CREME9		Cytokine receptor-like factor 3	
ATAD5		ATPase family, AAA domain containing 5	
C17orf41		ATPase family, AAA domain containing 5	
FRAG1		ATPase family, AAA domain containing 5	
FLJ12735		ATPase family, AAA domain containing 5	
TEFM		Transcription elongation factor, mitochondrial	
C17orf42		Transcription elongation factor, mitochondrial	
ADAP2		ArfGAP with dual PH domains 2	
CENTA2		ArfGAP with dual PH domains 2	
RNF135		Ring finger protein 135	
NF1		Neurofibromin (neurofibromatosis, type I)	Leukemia, juvenile myelomonocytic, 607785 (3), Autosomal dominant, Somatic mutation; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant; Watson syndrome, 193520 (3), Autosomal dominant
VRNF		Neurofibromin (neurofibromatosis, type I)	Leukemia, juvenile myelomonocytic, 607785 (3), Autosomal dominant, Somatic mutation; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant; Watson syndrome, 193520 (3), Autosomal dominant
WSS		Neurofibromin (neurofibromatosis, type I)	Leukemia, juvenile myelomonocytic, 607785 (3), Autosomal dominant, Somatic mutation; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant; Watson syndrome, 193520 (3), Autosomal dominant
NFNS		Neurofibromin (neurofibromatosis, type I)	Leukemia, juvenile myelomonocytic, 607785 (3), Autosomal dominant, Somatic mutation; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant; Watson syndrome, 193520 (3), Autosomal dominant
OMG	within the NF1 gene	Oligodendrocyte-myelin glycoprotein	
OMGP	within the NF1 gene	Oligodendrocyte-myelin glycoprotein	
EVI2B	within the NF1 gene	Ecotropic viral integration site 2B	
EVDB	within the NF1 gene	Ecotropic viral integration site 2B	
EVI2A	within the NF1 gene	Ecotropic viral integration site 2A	
EVI2	within the NF1 gene	Ecotropic viral integration site 2A	
EVDA	within the NF1 gene	Ecotropic viral integration site 2A	
RAB11FIP4		RAB11 family-interacting protein 4	
KIAA1821		RAB11 family-interacting protein 4	
MIR193A		Micro RNA 193A	
JJAZ1		JJAZ1 gene	
KIAA0160		JJAZ1 gene	
LRRC37B		Leucine-rich repeat-containing protein 37B	
RHOT1		Ras homolog gene family, member T1	
MIRO1		Ras homolog gene family, member T1	
ARHT1		Ras homolog gene family, member T1	
ZNF207	mapped by FISH to 6p21.3	Zinc finger protein-207	
PSMD11		Proteasome 26S subunit, non-ATPase, 11	
S9		Proteasome 26S subunit, non-ATPase, 11	
CDK5R1		Cyclin-dependent kinase 5, regulatory subunit 1	
p35		Cyclin-dependent kinase 5, regulatory subunit 1	
MYO1D		Myosin ID	
KIAA0727		Myosin ID	
TMEM98		Transmembrane protein 98	Nanophthalmos 4, 615972 (3), Autosomal dominant
NNO4		Transmembrane protein 98	Nanophthalmos 4, 615972 (3), Autosomal dominant
SPACA3		Sperm acrosome-associated 3	
LYZL3		Sperm acrosome-associated 3	
SLLP1		Sperm acrosome-associated 3	
LYC3		Sperm acrosome-associated 3	
ALLP17		Sperm acrosome-associated 3	
ACCN1		Amiloride-sensitive cation channel 1, neuronal (degenerin)	
BNC1		Amiloride-sensitive cation channel 1, neuronal (degenerin)	
MDEG		Amiloride-sensitive cation channel 1, neuronal (degenerin)	
CCL4L		Chemokine, C-C motif, ligand 4-like	
SCYA4L		Chemokine, C-C motif, ligand 4-like	
LAG1		Chemokine, C-C motif, ligand 4-like	
DEL17q12		Chromosome 17q12 deletion syndrome	Chromosome 17q12 deletion syndrome, 614527 (4), Autosomal dominant
C17DELq12		Chromosome 17q12 deletion syndrome	Chromosome 17q12 deletion syndrome, 614527 (4), Autosomal dominant
DUP17q12		Chromosome 17q12 duplication syndrome	Chromosome 17q12 duplication syndrome, 614526 (4), Autosomal dominant
C17DUPq12		Chromosome 17q12 duplication syndrome	Chromosome 17q12 duplication syndrome, 614526 (4), Autosomal dominant
HPC11	associated with rs4430796 and rs7501939	Prostate cancer, hereditary, 11	{Prostate cancer, hereditary, 11}, 611955 (2)
PBC5	associated with rs9303277	Biliary cirrhosis, primary, 5	Biliary cirrhosis, primary, 5, 614221 (2)
WT4		Wilms tumor-4	Wilms tumor, type 4, 601363 (2), Autosomal dominant
CCL2		Small inducible cytokine A2 (monocyte chemotactic protein, homologous to mouse Sig-je)	{Coronary artery disease, modifier of} (3); {HIV-1, resistance to}, 609423 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant
SCYA2		Small inducible cytokine A2 (monocyte chemotactic protein, homologous to mouse Sig-je)	{Coronary artery disease, modifier of} (3); {HIV-1, resistance to}, 609423 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant
MCP1		Small inducible cytokine A2 (monocyte chemotactic protein, homologous to mouse Sig-je)	{Coronary artery disease, modifier of} (3); {HIV-1, resistance to}, 609423 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant
MCAF		Small inducible cytokine A2 (monocyte chemotactic protein, homologous to mouse Sig-je)	{Coronary artery disease, modifier of} (3); {HIV-1, resistance to}, 609423 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant
CCL7	close to ERBB2	Chemokine, C-C motif, ligand 5	
SCYA7	close to ERBB2	Chemokine, C-C motif, ligand 5	
MCP3	close to ERBB2	Chemokine, C-C motif, ligand 5	
CCL11		Chemokine, C-C motif, ligand 11	{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; {HIV1, resistance to}, 609423 (3)
SCYA11		Chemokine, C-C motif, ligand 11	{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; {HIV1, resistance to}, 609423 (3)
CCL8		Chemokine, C-C motif, ligand 8	
SCYA8		Chemokine, C-C motif, ligand 8	
CCL13		Chemokine, C-C motif, ligand 13	
SCYA13		Chemokine, C-C motif, ligand 13	
NCC1		Chemokine, C-C motif, ligand 13	
CCL1		Chemokine, C-C motif, ligand 1	
SCYA1		Chemokine, C-C motif, ligand 1	
TMEM132E	mutation identified in 1 DFNB99 family	Transmembrane protein 132E	?Deafness, autosomal recessive 99, 618481 (3), Autosomal recessive
DFNB99	mutation identified in 1 DFNB99 family	Transmembrane protein 132E	?Deafness, autosomal recessive 99, 618481 (3), Autosomal recessive
CCT6B		Chaperonin containing T-complex polypeptide 1, subunit 6B	
CCTZ2		Chaperonin containing T-complex polypeptide 1, subunit 6B	
LIG3		Ligase III, DNA, ATP-dependent	
RFFL		Ring finger and FYVE-like domain containing 1 (rififylin)	
RAD51D		RAD51 paralog D	{Breast-ovarian cancer, familial, susceptibility to, 4}, 614291 (3)
RAD51L3		RAD51 paralog D	{Breast-ovarian cancer, familial, susceptibility to, 4}, 614291 (3)
BROVCA4		RAD51 paralog D	{Breast-ovarian cancer, familial, susceptibility to, 4}, 614291 (3)
UNC45B	mutation identified in 1 CTRCT43 family	unc-45 myosin chaperone B	?Cataract 43, 616279 (3), Autosomal dominant
SMUNC45	mutation identified in 1 CTRCT43 family	unc-45 myosin chaperone B	?Cataract 43, 616279 (3), Autosomal dominant
CTRCT43	mutation identified in 1 CTRCT43 family	unc-45 myosin chaperone B	?Cataract 43, 616279 (3), Autosomal dominant
SLFN5		Schlafen family, member 5	
SLFN11		Schlafen family, member 11	
SLFN12		Schlafen family, member 12	
SLFN13		Schlafen family, member 13	
SLFN12L		Schlafen family, member 12-like	
SLFN14		Schlafen family, member 14	Bleeding disorder, platelet-type, 20, 616913 (3), Autosomal dominant
BDPLT20		Schlafen family, member 14	Bleeding disorder, platelet-type, 20, 616913 (3), Autosomal dominant
PEX12		Peroxisome biogenesis factor 12	Peroxisome biogenesis disorder 3A (Zellweger), 614859 (3), Autosomal recessive; Peroxisome biogenesis disorder 3B, 266510 (3), Autosomal recessive
PBD3A		Peroxisome biogenesis factor 12	Peroxisome biogenesis disorder 3A (Zellweger), 614859 (3), Autosomal recessive; Peroxisome biogenesis disorder 3B, 266510 (3), Autosomal recessive
AP2B1		Adaptor-related protein complex 2, beta 1 subunit	
CLAPB1		Adaptor-related protein complex 2, beta 1 subunit	
ADTB2		Adaptor-related protein complex 2, beta 1 subunit	
RASL10B		Ras-like, family 10, member B	
RRP17		Ras-like, family 10, member B	
GAS2L2	mutation identified in 1 CILD41 patient	Growth arrest-specific 2-like 2	?Ciliary dyskinesia, primary, 41, 618449 (3), Autosomal recessive
GAR17	mutation identified in 1 CILD41 patient	Growth arrest-specific 2-like 2	?Ciliary dyskinesia, primary, 41, 618449 (3), Autosomal recessive
CILD41	mutation identified in 1 CILD41 patient	Growth arrest-specific 2-like 2	?Ciliary dyskinesia, primary, 41, 618449 (3), Autosomal recessive
MMP28		Matrix metalloproteinase 28	
TAF15	fusion gene with CSMF	TAF15 RNA polymerase II, TATA box-binding protein-associated factor, 68kD	Chondrosarcoma, extraskeletal myxoid, 612237 (1)
TAF2N	fusion gene with CSMF	TAF15 RNA polymerase II, TATA box-binding protein-associated factor, 68kD	Chondrosarcoma, extraskeletal myxoid, 612237 (1)
RBP56	fusion gene with CSMF	TAF15 RNA polymerase II, TATA box-binding protein-associated factor, 68kD	Chondrosarcoma, extraskeletal myxoid, 612237 (1)
CCL5		Chemokine, C-C motif, ligand 5	{HIV-1 disease, delayed progression of} (3); {HIV-1 disease, rapid progression of} (3)
SCYA5		Chemokine, C-C motif, ligand 5	{HIV-1 disease, delayed progression of} (3); {HIV-1 disease, rapid progression of} (3)
D17S136E		Chemokine, C-C motif, ligand 5	{HIV-1 disease, delayed progression of} (3); {HIV-1 disease, rapid progression of} (3)
TCP228		Chemokine, C-C motif, ligand 5	{HIV-1 disease, delayed progression of} (3); {HIV-1 disease, rapid progression of} (3)
RDM1		RAD52 motif-containing protein 1	
LYZL6		Lysozyme-like 6	
CCL16		Chemokine, C-C motif, ligand 16	
SCYA16		Chemokine, C-C motif, ligand 16	
NCC4		Chemokine, C-C motif, ligand 16	
CCL14		Chemokine, C-C motif, ligand 14	
SCYA14		Chemokine, C-C motif, ligand 14	
NCC2		Chemokine, C-C motif, ligand 14	
CCL15		Chemokine, C-C motif, ligand 15	
SCYA15		Chemokine, C-C motif, ligand 15	
NCC3		Chemokine, C-C motif, ligand 15	
LKN1		Chemokine, C-C motif, ligand 15	
CCL23		Chemokine, C-C motif, ligand 23	
SCYA23		Chemokine, C-C motif, ligand 23	
CCL18	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 18	
SCYA18	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 18	
PARC	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 18	
AMAC1	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 18	
DCCK1	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 18	
CCL3	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 3	{HIV infection, resistance to}, 609423 (2)
SCYA3	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 3	{HIV infection, resistance to}, 609423 (2)
MIP1A	in 47kb, CCL18-CCL3-CCL4	Chemokine, C-C motif, ligand 3	{HIV infection, resistance to}, 609423 (2)
CCL4		Chemokine, C-C motif, ligand 4	
SCYA4		Chemokine, C-C motif, ligand 4	
ACT2		Chemokine, C-C motif, ligand 4	
MIP1B		Chemokine, C-C motif, ligand 4	
AT744.1		Chemokine, C-C motif, ligand 4	
TBC1D3B		TBC1 domain family, member 3B	
PRC17		TBC1 domain family, member 3B	
CCL4L2		Chemokine, CC motif, ligand 4-like 2	
TBC1D3G		TBC1 domain family, member 3G	
TBC1D3H		TBC1 domain family, member 3H	
TBC1D3F		TBC1 domain family, member 3F	
ZNHIT3		Zinc finger HIT domain-containing protein 3	PEHO syndrome, 260565 (3), Autosomal recessive
TRIP3		Zinc finger HIT domain-containing protein 3	PEHO syndrome, 260565 (3), Autosomal recessive
PEHO		Zinc finger HIT domain-containing protein 3	PEHO syndrome, 260565 (3), Autosomal recessive
MYO19		Myosin XIX	
MYOHD1		Myosin XIX	
PIGW		Phosphatidylinositol glycan, class W	Glycosylphosphatidylinositol biosynthesis defect 11, 616025 (3), Autosomal recessive
HPMRS5		Phosphatidylinositol glycan, class W	Glycosylphosphatidylinositol biosynthesis defect 11, 616025 (3), Autosomal recessive
GGNBP2		Gametogenetin-binding protein 2	
DIF3		Gametogenetin-binding protein 2	
LCRG1		Gametogenetin-binding protein 2	
LZK1		Gametogenetin-binding protein 2	
DHRS11		Short-chain dehydrogenase reductase family, member 11	
SDR24C1		Short-chain dehydrogenase reductase family, member 11	
MRM1		Mitochondrial ribosomal RNA methyltransferase 1	
LHX1	previously mapped to 11p13-p12 by FISH	LIM/homeodomain protein LHX1	
